peak_frame,class_frame,time_s,front,toe_x,toe_y,heel_x,heel_y
77,75,4.795123,right,0.1262474954128265,0.8556768894195557,0.0965768992900848,0.8422145247459412
88,85,5.476474,left,0.2359910756349563,0.84503573179245,0.1959759891033172,0.8325017094612122
100,97,6.179571,right,0.3238675892353058,0.8676013350486755,0.2776821553707123,0.8418956995010376
109,106,6.803342,left,0.4525571465492248,0.8454712629318237,0.4020847678184509,0.8254152536392212
122,119,7.575733,right,0.5488893389701843,0.8497875332832336,0.4956729412078857,0.8230345845222473
133,130,8.249844,left,0.6608354449272156,0.8354265093803406,0.612185001373291,0.829533040523529
144,141,8.930398,right,0.8733701705932617,0.84102463722229,0.8211113810539246,0.8335391283035278
153,150,9.60236,left,0.91519033908844,0.829603910446167,0.871562123298645,0.8165920972824097
