frame,left_foot_x,left_foot_y,right_foot_x,right_foot_y,left_toe_x,left_toe_y,right_toe_x,right_toe_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,time_s
1,0.2962800860404968,0.7562275528907776,0.43511009216308594,0.7499908208847046,0.32349923253059387,0.7790398597717285,0.47264575958251953,0.7619585990905762,0.36258018016815186,0.5046702027320862,0.36251601576805115,0.5106706619262695,0.03336666666666667
2,0.29584139585494995,0.7558048963546753,0.43451353907585144,0.7500168085098267,0.323508083820343,0.7795713543891907,0.4722699522972107,0.7619982361793518,0.3626210391521454,0.5022422075271606,0.3628981113433838,0.5063433051109314,0.06673333333333334
3,0.2944752871990204,0.7547520399093628,0.43373462557792664,0.7498490810394287,0.32256677746772766,0.7799423933029175,0.47097277641296387,0.7632079124450684,0.3632306456565857,0.5006392598152161,0.36407604813575745,0.5039538145065308,0.10010000000000001
4,0.29358935356140137,0.75279301404953,0.43231236934661865,0.7493582963943481,0.3212222754955292,0.7798721790313721,0.4684814214706421,0.7656685709953308,0.3641730844974518,0.5004251003265381,0.36457559466362,0.5037354826927185,0.13346666666666668
5,0.2933346927165985,0.7493981122970581,0.4310104548931122,0.7487232089042664,0.320033460855484,0.7790895104408264,0.46747004985809326,0.7672129273414612,0.3652876615524292,0.49998363852500916,0.36533549427986145,0.5036212801933289,0.16683333333333333
6,0.2926403284072876,0.7472034692764282,0.4302763342857361,0.7470205426216125,0.3189595341682434,0.7789766192436218,0.46558257937431335,0.7684624791145325,0.36682483553886414,0.4998319149017334,0.36589717864990234,0.5036510229110718,0.20020000000000002
7,0.291566401720047,0.7463880777359009,0.4297395348548889,0.7466802597045898,0.3152759075164795,0.7794650197029114,0.46518415212631226,0.7695350646972656,0.3683682680130005,0.4998915195465088,0.3668309152126312,0.5036712288856506,0.23356666666666667
8,0.29173749685287476,0.7424158453941345,0.4288340210914612,0.7458743453025818,0.3137883245944977,0.7793561816215515,0.4629383087158203,0.7704406976699829,0.36990857124328613,0.4994180202484131,0.36731258034706116,0.5031374096870422,0.26693333333333336
9,0.2917685806751251,0.7395132184028625,0.4270031452178955,0.7449103593826294,0.31231027841567993,0.7793796062469482,0.4615609645843506,0.7701754570007324,0.3719085454940796,0.49953922629356384,0.36922481656074524,0.503402054309845,0.3003
10,0.29167604446411133,0.7360477447509766,0.4257233440876007,0.7448474168777466,0.3114094138145447,0.7794016599655151,0.4596729576587677,0.7700539827346802,0.37381264567375183,0.499571293592453,0.3704216480255127,0.5034935474395752,0.33366666666666667
11,0.29167914390563965,0.7332883477210999,0.42575347423553467,0.7448927760124207,0.3098583221435547,0.779812216758728,0.458516001701355,0.7706305384635925,0.3747026026248932,0.4994420111179352,0.3722377419471741,0.502932071685791,0.3670333333333333
12,0.2918730676174164,0.7301815748214722,0.42611777782440186,0.7449358105659485,0.3071541488170624,0.7799117565155029,0.45836102962493896,0.7709656953811646,0.37571850419044495,0.4993894696235657,0.37367773056030273,0.5027952790260315,0.40040000000000003
13,0.2920328378677368,0.7283352017402649,0.4240139126777649,0.7442477345466614,0.30605170130729675,0.7803102135658264,0.45608070492744446,0.7708383202552795,0.3769211769104004,0.498519629240036,0.3754432201385498,0.5017033219337463,0.4337666666666667
14,0.2929663062095642,0.7250916361808777,0.42418861389160156,0.7464597821235657,0.30558153986930847,0.7803360223770142,0.4547417163848877,0.7716209888458252,0.37820667028427124,0.4979686141014099,0.3777458071708679,0.5007033348083496,0.46713333333333334
15,0.29463785886764526,0.7212215662002563,0.42403391003608704,0.7479686737060547,0.30532020330429077,0.7802411913871765,0.4542733132839203,0.7715411186218262,0.37885990738868713,0.49693915247917175,0.37965935468673706,0.49853643774986267,0.5005000000000001
16,0.29598164558410645,0.717159628868103,0.42375901341438293,0.7487823963165283,0.3039977550506592,0.7800095081329346,0.4541870355606079,0.7720407843589783,0.38052433729171753,0.496887743473053,0.38140377402305603,0.49847662448883057,0.5338666666666667
17,0.29942983388900757,0.7116121053695679,0.4234478175640106,0.7489979863166809,0.3036915361881256,0.7795262336730957,0.4531935751438141,0.772033154964447,0.3815419375896454,0.49692198634147644,0.3831539452075958,0.49794983863830566,0.5672333333333334
18,0.30313166975975037,0.707909107208252,0.420919269323349,0.7498950362205505,0.30417677760124207,0.777411937713623,0.451373815536499,0.7749082446098328,0.38325944542884827,0.49620550870895386,0.3842419683933258,0.49606984853744507,0.6006
19,0.30783018469810486,0.7046419382095337,0.4196263253688812,0.749568521976471,0.304470956325531,0.775706946849823,0.4471604526042938,0.7747707366943359,0.38298967480659485,0.49529165029525757,0.3841592073440552,0.49528199434280396,0.6339666666666667
20,0.3105246126651764,0.7039481997489929,0.416835755109787,0.7496170997619629,0.3050083816051483,0.7752068042755127,0.4430108666419983,0.7746504545211792,0.3823956549167633,0.49392250180244446,0.38438597321510315,0.49406659603118896,0.6673333333333333
21,0.31294921040534973,0.7028767466545105,0.41577228903770447,0.7498344779014587,0.30640149116516113,0.7742409706115723,0.44336527585983276,0.774613618850708,0.3823825716972351,0.4916779100894928,0.38463637232780457,0.49177029728889465,0.7007
22,0.3154732286930084,0.7017087340354919,0.413068026304245,0.7498301267623901,0.3111235201358795,0.7733348608016968,0.44205740094184875,0.7744927406311035,0.3824942111968994,0.491456538438797,0.38465291261672974,0.49190229177474976,0.7340666666666666
23,0.31524908542633057,0.7027970552444458,0.41066980361938477,0.7503861784934998,0.31403717398643494,0.7719670534133911,0.4412379860877991,0.773847222328186,0.38229721784591675,0.49001210927963257,0.3846016824245453,0.4913540780544281,0.7674333333333333
