peak_frame,class_frame,time_s,front,contact_type,separation,toe_heel_contact,toe_x,toe_y,heel_x,heel_y,ankle_x,ankle_y,foot_length,threshold,vertical_diff
77,75,4.795123,right,Toe,0.0780737139284611,Toe,0.1262474954128265,0.8556768894195557,0.0965768992900848,0.8422145247459412,0.1076269298791885,0.8284837007522583,0.032581889707078676,0.01,0.013462364673614502
88,85,5.476474,left,Toe,0.1420780867338181,Toe,0.2359910756349563,0.84503573179245,0.1959759891033172,0.8325017094612122,0.2061258554458618,0.811509370803833,0.04193219366947707,0.01,0.012534022331237793
100,97,6.179571,right,Toe,0.11059767007827759,Toe,0.3238675892353058,0.8676013350486755,0.2776821553707123,0.8418956995010376,0.2877788245677948,0.8243502378463745,0.05285710926799466,0.01,0.02570563554763794
109,106,6.803342,left,Toe,0.11482927203178411,Toe,0.4525571465492248,0.8454712629318237,0.4020847678184509,0.8254152536392212,0.4143981337547302,0.8002889752388,0.05431118230611108,0.01,0.02005600929260254
122,119,7.575733,right,Toe,0.12946203351020819,Toe,0.5488893389701843,0.8497875332832336,0.4956729412078857,0.8230345845222473,0.5137194395065308,0.8015154600143433,0.05956261628071036,0.01,0.026752948760986328
133,130,8.249844,left,Flat,0.13257718086242676,Flat,0.6608354449272156,0.8354265093803406,0.612185001373291,0.829533040523529,0.6252523064613342,0.8036136031150818,0.04900610812092516,0.01,0.0058934688568115234
144,141,8.930398,right,Flat,0.1208922266960144,Flat,0.8733701705932617,0.84102463722229,0.8211113810539246,0.8335391283035278,0.8294578790664673,0.8072051405906677,0.052792176767865934,0.01,0.007485508918762207
153,150,9.60236,left,Toe,0.00748044252395641,Toe,0.91519033908844,0.829603910446167,0.871562123298645,0.8165920972824097,0.8810243606567383,0.794146716594696,0.04552722805980449,0.01,0.013011813163757324
