peak_frame,class_frame,time_s,front,contact_type,vertical_diff
77,75,4.795123,right,Toe,0.013462364673614502
88,85,5.476474,left,Toe,0.012534022331237793
100,97,6.179571,right,Toe,0.02570563554763794
109,106,6.803342,left,Toe,0.02005600929260254
122,119,7.575733,right,Toe,0.026752948760986328
133,130,8.249844,left,Flat,0.0058934688568115234
144,141,8.930398,right,Flat,0.007485508918762207
153,150,9.60236,left,Toe,0.013011813163757324
